#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,driver
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-01T16:00:00Z,51.6,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-05T12:00:00Z,55.5,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-09T16:00:00Z,45.8,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-14T10:00:00Z,54.9,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-20T17:00:00Z,54,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-25T09:00:00Z,44.9,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-28T17:00:00Z,43.4,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-01-30T11:00:00Z,52.6,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-03T20:00:00Z,37.2,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-04T20:00:00Z,49.9,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-07T14:00:00Z,37.9,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-11T08:00:00Z,30.5,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-14T15:00:00Z,54.1,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-18T13:00:00Z,61.1,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-23T16:00:00Z,4.9,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-02-24T12:00:00Z,52,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-02T09:00:00Z,47,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-04T17:00:00Z,26.4,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-05T13:00:00Z,27.2,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-05T17:00:00Z,38.52,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-08T13:00:00Z,8.51,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-08T15:00:00Z,9.84,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-08T17:00:00Z,26.58,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-10T12:00:00Z,13.2,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-16T14:00:00Z,58.12,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-24T10:00:00Z,57.42,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-25T20:00:00Z,18.9,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-27T17:00:00Z,11.77,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-27T19:00:00Z,45.51,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-03-31T16:00:00Z,41.91,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-01T22:00:00Z,51.62,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-03T17:00:00Z,20.36,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-04T15:00:00Z,55.86,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-09T13:00:00Z,43.89,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-13T11:00:00Z,10.43,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-13T14:00:00Z,39.48,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-17T15:00:00Z,56.23,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-19T14:00:00Z,11.05,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-22T09:00:00Z,49.88,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-22T20:00:00Z,10.04,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-24T11:00:00Z,57.01,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-26T20:00:00Z,46.47,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-27T16:00:00Z,26.08,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-04-28T16:00:00Z,48.6,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-07T21:00:00Z,54.02,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-10T16:00:00Z,47.5,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-12T07:00:00Z,53.45,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-14T17:00:00Z,14.64,consumed,charge,Driver 1
,,0,2020-12-31T23:00:00Z,2021-12-31T06:57:17.258Z,2021-05-15T17:00:00Z,62.44,consumed,charge,Driver 1
