driver,month,year,Charging Sessions,Total kWh,Mean kWh
Driver 1,1,2021,8,402.7,50.3375
Driver 1,2,2021,8,327.6,40.95
Driver 1,3,2021,14,430.88,30.777142857142856
Driver 1,4,2021,14,527.0,37.642857142857146
Driver 1,5,2021,10,423.36,42.336
Driver 1,6,2021,17,483.454,28.438470588235294
Driver 1,7,2021,14,492.588,35.18485714285715
Driver 1,8,2021,5,197.01,39.402
Driver 1,9,2021,4,155.49,38.8725
Driver 1,10,2021,10,366.456,36.6456
Driver 1,11,2021,14,478.096,34.14971428571429
Driver 1,12,2021,9,358.27,39.80777777777777
Driver 2,1,2021,5,160.0,32.0
Driver 2,2,2021,4,91.1,22.775
Driver 2,3,2021,3,44.94,14.979999999999999
Driver 2,4,2021,12,244.5,20.375
Driver 2,5,2021,8,162.94,20.3675
Driver 2,6,2021,7,120.27000000000001,17.181428571428572
Driver 2,7,2021,2,69.66999999999999,34.834999999999994
Driver 2,9,2021,3,60.230000000000004,20.076666666666668
Driver 2,10,2021,7,180.64000000000001,25.805714285714288
Driver 2,11,2021,9,215.66,23.962222222222223
Driver 2,12,2021,14,264.33,18.880714285714284
Driver 5,1,2021,4,152.78,38.195
Driver 5,2,2021,4,115.2,28.8
Driver 5,3,2021,3,114.66999999999999,38.22333333333333
Driver 5,4,2021,6,239.66,39.943333333333335
Driver 5,5,2021,6,171.882,28.647000000000002
Driver 5,6,2021,15,190.219,12.681266666666666
Driver 5,7,2021,21,183.55,8.74047619047619
Driver 5,8,2021,6,47.18,7.863333333333333
Driver 5,10,2021,1,44.57,44.57
Driver 5,11,2021,6,187.648,31.274666666666665
Driver 5,12,2021,8,287.64,35.955
